round,coop_rate,attack_success_rate,avg_def_pay,attacker_q
980,1.0,0.0,10.4,0.4
990,1.0,0.0,10.9,0.4
1000,1.0,0.0,11.925,0.4
1010,1.0,0.0,10.45,0.4
1020,1.0,0.0,10.1,0.4
1030,1.0,0.0,11.95,0.4
1040,1.0,0.0,11.225,0.4
1050,1.0,0.0,11.2,0.4
1060,1.0,0.0,9.975,0.4
1070,1.0,0.0,10.525,0.4
1080,1.0,0.0,11.15,0.4
1090,1.0,0.0,10.775,0.4
1100,1.0,0.0,11.35,0.4
1110,1.0,0.0,10.825,0.4
1120,1.0,0.0,10.775,0.4
1130,1.0,0.0,10.6,0.4
1140,1.0,0.0,10.725,0.4
1150,1.0,0.0,11.325,0.4
1160,1.0,0.0,11.375,0.4
1170,1.0,0.0,10.85,0.4
1180,1.0,0.0,11.4,0.4
1190,1.0,0.0,11.4,0.4
1200,1.0,0.0,11.125,0.4
1210,1.0,0.0,9.875,0.4
1220,1.0,0.0,9.975,0.4
1230,1.0,0.0,10.975,0.4
1240,1.0,0.0,11.25,0.4
1250,1.0,0.0,11.125,0.4
1260,1.0,0.0,11.5,0.4
1270,1.0,0.0,11.175,0.4
1280,1.0,0.0,10.5,0.4
1290,1.0,0.0,10.9,0.4
1300,1.0,0.0,11.225,0.4
1310,1.0,0.0,11.575,0.4
1320,1.0,0.0,10.725,0.4
1330,1.0,0.0,11.05,0.4
1340,1.0,0.0,10.95,0.4
1350,1.0,0.0,10.7,0.4
1360,1.0,0.0,10.125,0.4
1370,1.0,0.0,11.025,0.4
1380,1.0,0.0,11.5,0.4
1390,1.0,0.0,10.85,0.4
1400,1.0,0.0,11.75,0.4
1410,1.0,0.0,10.7,0.4
1420,1.0,0.0,10.45,0.4
1430,1.0,0.0,11.4,0.4
1440,1.0,0.0,10.575,0.4
1450,1.0,0.0,11.15,0.4
1460,1.0,0.0,10.625,0.4
1470,1.0,0.0,11.1,0.4
1480,1.0,0.0,10.9,0.4
1490,1.0,0.0,10.675,0.4
1500,1.0,0.0,11.275,0.4
1510,1.0,0.0,10.375,0.4
1520,1.0,0.0,10.75,0.4
1530,1.0,0.0,10.85,0.4
1540,1.0,0.0,10.8,0.4
1550,1.0,0.0,10.725,0.4
1560,1.0,0.0,10.525,0.4
1570,1.0,0.0,10.7,0.4
1580,1.0,0.0,11.125,0.4
1590,1.0,0.0,11.425,0.4
1600,1.0,0.0,10.725,0.4
1610,1.0,0.0,10.975,0.4
1620,1.0,0.0,10.725,0.4
1630,1.0,0.0,10.575,0.4
1640,1.0,0.0,11.55,0.4
1650,1.0,0.0,10.05,0.4
1660,1.0,0.0,10.55,0.4
1670,1.0,0.0,10.9,0.4
1680,1.0,0.0,10.8,0.4
1690,1.0,0.0,10.425,0.4
1700,1.0,0.0,10.7,0.4
1710,1.0,0.0,11.275,0.4
1720,1.0,0.0,11.1,0.4
1730,1.0,0.0,11.525,0.4
1740,1.0,0.0,11.85,0.4
1750,1.0,0.0,10.8,0.4
1760,1.0,0.0,10.6,0.4
1770,1.0,0.0,10.6,0.4
1780,1.0,0.0,10.375,0.4
1790,1.0,0.0,10.425,0.4
1800,1.0,0.0,11.425,0.4
1810,1.0,0.0,10.375,0.4
1820,1.0,0.0,12.05,0.4
1830,1.0,0.0,11.025,0.4
1840,1.0,0.0,10.4,0.4
1850,1.0,0.0,10.8,0.4
1860,1.0,0.0,11.75,0.4
1870,1.0,0.0,11.325,0.4
1880,1.0,0.0,11.25,0.4
1890,1.0,0.0,11.075,0.4
1900,1.0,0.0,10.125,0.4
1910,1.0,0.0,10.7,0.4
1920,1.0,0.0,10.675,0.4
1930,1.0,0.0,10.95,0.4
1940,1.0,0.0,10.4,0.4
1950,1.0,0.0,10.425,0.4
1960,1.0,0.0,10.4,0.4
1970,1.0,0.0,11.625,0.4
1980,1.0,0.0,10.775,0.4
1990,1.0,0.0,10.275,0.4
