round,coop_rate,attack_success_rate,avg_def_pay,attacker_q
1710,1.0,0.0,10.725,0.4
1720,1.0,0.0,10.05,0.4
1730,1.0,0.0,10.575,0.4
1740,1.0,0.0,11.6,0.4
1750,1.0,0.0,11.5,0.4
1760,1.0,0.0,9.8,0.4
1770,1.0,0.0,10.6,0.4
1780,1.0,0.0,10.875,0.4
1790,1.0,0.0,10.725,0.4
1800,1.0,0.0,11.175,0.4
1810,1.0,0.0,10.575,0.4
1820,1.0,0.0,10.9,0.4
1830,1.0,0.0,10.7,0.4
1840,1.0,0.0,10.825,0.4
1850,1.0,0.0,11.425,0.4
1860,1.0,0.0,10.725,0.4
1870,1.0,0.0,10.2,0.4
1880,1.0,0.0,10.9,0.4
1890,1.0,0.0,10.125,0.4
1900,1.0,0.0,11.3,0.4
1910,1.0,0.0,11.025,0.4
1920,1.0,0.0,11.5,0.4
1930,1.0,0.0,10.5,0.4
1940,1.0,0.0,10.875,0.4
1950,1.0,0.0,11.025,0.4
1960,1.0,0.0,10.425,0.4
1970,1.0,0.0,10.975,0.4
1980,1.0,0.0,10.1,0.4
1990,1.0,0.0,11.2,0.4
